field,n,accuracy,macro_f1,n_classes_gold,mae
hedging_intensity,60,0.25,,,0.95
revenue_yoy_pct,60,0.2833333333333333,,,
non_gaap_emphasis,60,0.35,,,0.8833333333333333
one_time_items,60,0.36666666666666664,0.3602693602693603,2.0,
segment_weakness_disclosed,60,0.4,0.325,2.0,
macro_headwind_cited,60,0.4666666666666667,0.4514285714285714,2.0,
dividend_action,60,0.55,0.3768930568499534,3.0,
eps_direction,60,0.5833333333333334,0.4371215800550429,4.0,
guidance_action,60,0.65,0.6115591397849462,6.0,
tone,60,0.65,0.3190883190883191,3.0,
announced_restructuring,60,0.6666666666666666,0.6411483253588517,2.0,
revenue_direction,60,0.6833333333333333,0.5549625468164794,4.0,
margin_direction,60,0.7166666666666667,0.46645021645021645,3.0,
announced_impairment,60,0.7666666666666667,0.7222222222222223,2.0,
guidance_horizon_quarters,60,0.8,,,
announced_buyback,60,0.8166666666666667,0.623072529982867,2.0,
executive_transition,60,0.9333333333333333,0.4827586206896552,2.0,
