field,n,accuracy,macro_f1,n_classes_gold,mae
hedging_intensity,60,0.26666666666666666,,,0.95
tone,60,0.4666666666666667,0.27298136645962734,3.0,
one_time_items,60,0.5833333333333334,0.5804195804195804,2.0,
guidance_horizon_quarters,60,0.6,,,
margin_direction,60,0.6166666666666667,0.6411849588320176,3.0,
non_gaap_emphasis,60,0.6333333333333333,,,0.38333333333333336
segment_weakness_disclosed,60,0.65,0.6451703745423825,2.0,
announced_restructuring,60,0.6833333333333333,0.48901837740923354,2.0,
macro_headwind_cited,60,0.6833333333333333,0.6622222222222223,2.0,
guidance_action,60,0.7166666666666667,0.6438160849925556,6.0,
announced_impairment,60,0.8,0.5148247978436657,2.0,
revenue_yoy_pct,60,0.8,,,
eps_direction,60,0.85,0.7706060606060606,4.0,
announced_buyback,60,0.9166666666666666,0.7843278217109992,2.0,
dividend_action,60,0.9166666666666666,0.5896907216494846,3.0,
revenue_direction,60,0.95,0.8467409240924092,4.0,
executive_transition,60,0.9666666666666667,0.7413793103448276,2.0,
