feature,auc_drop,std
log_rv_pre,0.09124334784712138,0.01721949486207709
days_since_prev,0.018621190130624042,0.00653573460062665
log_rv_market_pre,0.013202709240445032,0.01069032316029992
revenue_direction__not_stated,0.010241896468311463,0.006725419628063556
timing__after_hours,0.008214804063860626,0.00921426291463661
hedging_intensity,0.006623125302370514,0.003715419512354194
log_price,0.005873246250604669,0.005173337017029435
rv_ratio_to_market,0.005350749879051675,0.007385925921202992
month,0.0020657958393806796,0.002927251120741613
tone__confident,0.0013884857281083129,0.0012887521027630374
guidance_action__raised,0.0008417997097241892,0.0019638894801150973
guidance_action__initiated,0.0007498790517657782,0.001098593523509499
tone__cautious,0.0007160135462021766,0.00014154561043375804
announced_impairment,0.0007111756168359685,0.0029370694242462692
announced_restructuring,0.0005031446540880613,0.0009316500456363433
revenue_yoy_pct,0.0003870343492984096,0.0026309618921296673
tone__neutral,0.00037252056119976287,0.0005744926538719178
revenue_direction__flat,0.000290275761973835,0.0002804330284700311
non_gaap_emphasis,0.0002709240445089467,0.00037735849056603875
quarter,0.0002467343976777503,0.0003873063872206147
