feature,auc_drop,std
log_rv_pre,0.08747460087082734,0.016051378407124187
log_rv_market_pre,0.030038703434929915,0.010983899351481991
days_since_prev,0.017426221577165002,0.005595993393809584
timing__after_hours,0.01238509917755204,0.009794770046327715
dividend_action__increased,0.007726173197871311,0.006867135269311748
log_dollar_volume,0.007014997581035365,0.0032448768035492643
rv_ratio_to_market,0.0044992743105950915,0.008581619424401055
guidance_horizon_quarters,0.002999516207063402,0.002786916075842459
guidance_horizon_quarters_missing,0.002578616352201335,0.0010779032569733654
revenue_yoy_abs,0.0022206095791001633,0.0026257480013191035
month,0.0021819061441703314,0.002356468933712877
margin_direction__increased,0.002041606192549672,0.0009706772097907772
quarter,0.002022254475084695,0.001982347092349526
revenue_direction__not_stated,0.0019351717464925588,0.00201178764554383
margin_direction__not_stated,0.0008611514271892439,0.0011198108376723327
extractor_confidence,0.00038703434929855397,0.0002658661183170435
guidance_action__not_provided,0.00037735849056611535,0.0008348197236622052
margin_direction__decreased,0.0003241412675375588,0.0003652876958105871
timing__pre_market,0.0002467343976778391,0.005784854786923499
segment_weakness_disclosed,6.28930817610951e-05,0.0005596336352962906
